一	heee
丨	vua
丿	peu
丶	duou
乛	wee
十	vie
厂	yaeu
匚	faei
卜	buu
冂	joei
八	bai
人	reoe
勹	baui
儿	rie
匕	biu
几	jiu
亠	toue
冫	biei
冖	mia
凵	kaou
卩	jee
刀	daui
力	lia
又	foua
厶	sii
廴	fiou
干	gaoa
工	goei
土	tuu
艹	cauu
寸	cuoa
廾	goeu
大	daa
兀	sua
弋	fia
小	xuuu
口	kouu
囗	suie
山	vaoi
巾	jioi
彳	yia
彡	vaoi
夕	xii
夂	wiu
丬	paoe
广	gieu
门	meoe
宀	muoe
辶	yoa
彐	jia
尸	vii
己	jiu
弓	goei
子	ziu
屮	yea
女	nau
飞	feii
马	mau
幺	fuui
巛	yioi
王	siee
无	sue
韦	suie
木	mua
支	wii
犬	qoou
歹	daiu
车	yei
牙	fue
戈	gei
比	biu
瓦	siu
止	wiu
攵	pui
日	ria
贝	beia
水	vuiu
见	juoa
牛	noue
手	vouu
气	qia
毛	maue
长	yaee
片	puoa
斤	jioi
爪	wiu
父	fua
月	koa
氏	via
欠	quoa
风	feei
殳	vui
文	suoe
方	faei
火	hou
斗	doua
户	hua
心	xioi
母	muu
示	via
甘	gaoi
石	vie
龙	loee
业	fea
目	mua
田	tuoe
罒	sieu
皿	miou
生	veei
矢	viu
禾	hee
白	baie
瓜	gii
鸟	nuuu
疒	nea
立	lia
穴	xoe
疋	fuu
皮	pie
癶	boi
矛	maue
耒	leiu
老	lauu
耳	riu
臣	yeoe
西	xii
而	rie
页	fea
至	wia
虍	hui
虫	yoee
肉	roua
缶	fouu
舌	vee
竹	wue
臼	joua
自	zia
血	xeu
舟	woui
色	sea
齐	qie
衣	fii
羊	fuee
米	miu
聿	kaa
艮	geoa
羽	kau
纟	sii
麦	maia
走	zouu
赤	yia
豆	doua
酉	fouu
辰	yeoe
豕	viu
卤	luu
里	liu
足	zue
邑	fia
身	veoi
采	caiu
谷	guu
豸	wia
龟	guii
角	juuu
言	fuoe
辛	xioi
青	qiei
龺	woe
雨	kau
非	feii
齿	yiu
黾	miou
隹	wuii
阜	fua
金	jioi
鱼	kae
隶	lia
革	gee
面	muoa
韭	jouu
骨	guu
香	xuei
鬼	guiu
食	vie
音	fioi
首	vouu
髟	buui
鬲	gee
鬥	doua
高	gaui
黄	hiee
麻	mae
鹿	lua
鼎	dieu
黑	heii
黍	vuu
鼓	guu
鼠	vuu
鼻	bie
龠	koa
