b	不
ba	吧
baa	爸
bae	帮
bai	八 8
bao	办
bau	把
be	被
bee	别
bei	北
beo	本
bi	比
bia	必
bie	并
bii	逼
biu	笔
bo	博
boi	波
boo	啵
bu	补
bua	部
buo	变
buu	表
c	从
ca	才
cae	藏
cai	菜
cao	三 3
cau	操
ce	曾
cea	测
cee	蹭
ci	次
cia	刺
cie	词
ciu	此
co	错
coi	搓
cou	凑
cu	粗
cui	催
cuo	寸
d	都
da	到
daa	大
dae	当
dai	带
dao	但
dau	打
de	得
dee	等
dei	爹
di	地
dia	第
die	顶
dii	低
dio	段
diu	底
do	多
doi	哆
dou	丢
du	对
dua	度
due	读
dui	队
duo	点
duu	掉
f	有
fa	发
fae	放
fao	饭
fau	法
fe	也
fea	夜
fee	疯
fei	飞
feo	分
fi	以
fia	亿
fie	应
fii	一 1
fio	因
fiu	已
fo	又
foe	用
foo	哟
fou	由
fu	要
fua	负
fue	养
fui	压
fuo	呀
fuu	咬
g	个
ga	搞
gae	刚
gai	该
gao	干
gau	高
ge	给
gea	各
gee	更
gei	哥
geo	跟
gi	光
gia	挂
gie	逛
gii	怪
gio	管
go	过
goe	共
goi	锅
gou	狗
gu	故
gui	贵
guo	滚
h	和
ha	好
hai	还
hao	喊
hau	号
he	很
hee	合
hei	黑
heo	恨
hi	话
hia	画
hie	黄
hii	坏
hio	换
ho	后
hoa	或
hoe	活
hou	火
hu	会
hue	湖
hui	回
huo	混
huu	虎
j	就
ja	举
jaa	句
jao	均
je	接
jea	借
jee	节
jei	皆
jeo	价
jeu	姐
ji	即
jia	记
jie	急
jii	鸡
jio	金
jiu	几
jo	久
joe	绝
joo	卷
jou	九 9
ju	加
jua	嫁
jue	将
juo	见
juu	叫
k	看
ka	与
kaa	欲
kae	于
kai	开
kao	晕
kau	卡
ke	可
kea	课
kee	坑
keo	肯
ki	快
kie	狂
kii	块
kio	款
ko	越
koa	月
koe	空
koi	约
koo	元
kou	口
ku	哭
kua	酷
kuo	困
kuu	五 5
l	来
la	啦
laa	率
lae	浪
lai	拉
lao	蓝
lau	老
le	类
lea	乐
lee	冷
lei	累
leu	咧
li	里
lia	力
lie	零 0
lio	乱
liu	李
lo	留
loa	落
loe	龙
loo	咯
lou	六 6
lu	连
lua	路
lue	两 2
lui	撸
luo	练
luu	俩
m	没
ma	吗
maa	骂
mae	忙
mai	买
mao	满
mau	猫
me	每
mea	灭
mee	梦
mei	妹
meo	门
mi	米
mie	名
mii	咪
mo	某
moa	末
moe	魔
moi	摸
mou	抹
mu	秒
mua	木
muo	面
muu	喵
n	你
na	那
naa	呐
nae	拿
nai	乃
nao	南
nau	哪
ne	能
nei	内
neo	呢
ni	您
nia	腻
nio	暖
no	弄
noa	虐
noe	浓
nou	牛
nu	年
nua	怒
nue	娘
nuo	念
nuu	鸟
p	跑
pa	拍
paa	怕
pae	胖
pai	排
pao	盘
pau	泡
pe	喷
pee	碰
pei	配
pi	拼
pia	屁
pie	瓶
pii	批
po	破
pu	骗
pui	噗
puo	片
puu	票
q	去
qa	取
qaa	趣
qai	区
qao	群
qau	娶
qe	且
qea	切
qei	切
qi	其
qia	气
qie	请
qii	七 7
qio	亲
qiu	起
qo	却
qoe	穷
qoi	缺
qoo	全
qou	求
qu	前
qua	恰
que	强
qui	掐
quo	钱
quu	瞧
r	人
ra	啊
rae	让
rai	爱
rao	按
rau	凹
re	嗯
rea	热
ree	仍
reu	惹
ri	而
ria	二 2
rie	儿
rii	日
rio	软
ro	哦
roa	若
rou	肉
ru	如
rua	入
ruu	乳
s	我
sa	散
sai	塞
sau	扫
se	色
sea	涩
si	玩
sia	四 4
sie	往
sio	万
siu	死
so	所
soa	握
soe	送
soi	窝
sou	搜
su	为
sua	勿
sue	无
sui	未
suo	问
t	他
ta	她
tae	躺
tai	它
tao	谈
tau	套
te	特
tee	疼
tei	贴
teu	帖
ti	听
tia	替
tie	挺
tii	踢
tio	团
tiu	体
to	同
toe	通
toi	拖
tou	头
tu	天
tua	吐
tue	图
tui	腿
tuo	填
tuu	土
v	是
va	上
vae	啥
vai	杀
vao	删
vau	少
ve	谁
vea	设
vee	生
veo	深
vi	时
via	事
vie	十 10
vii	刷
viu	使
vo	说
vou	手
vu	数
vua	树
vui	水
vuu	属
w	这
wa	找
waa	炸
wae	张
wai	渣
wao	站
wau	照
we	着
wee	整
wei	遮
weo	真
weu	者
wi	只
wia	致
wie	装
wii	之
wio	转
wiu	纸
wo	中
woe	种
woi	捉
wou	周
wu	住
wua	祝
wui	追
wuo	准
wuu	主
x	想
xa	需
xai	虚
xe	写
xea	谢
xee	鞋
xei	些
xeu	血
xi	行
xia	系
xie	性
xii	西
xio	新
xiu	洗
xo	学
xoe	胸
xoo	选
xou	秀
xu	下
xua	吓
xue	像
xui	瞎
xuo	先
xuu	小
y	出
ya	长
yaa	差
yae	唱
yai	拆
yao	产
yau	超
ye	成
yee	乘
yei	车
yeo	趁
yeu	扯
yi	吃
yie	床
yii	踹
yio	传
yo	重
yoe	冲
yoi	戳
you	抽
yu	处
yue	除
yui	吹
yuo	纯
yuu	楚
z	在
za	再
zae	杂
zai	仔
zao	赞
zau	咋
ze	则
zee	增
zei	贼
zeo	怎
zi	字
zia	自
zio	钻
ziu	子
zo	做
zoa	作
zoe	总
zou	走
zu	最
zue	足
zui	嘴
zuu	组
